symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,LawOrRegulationOrGuidelinesDomain,LawOrRegulationOrGuidelines1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
AARTIDRUGS,Aarti Drugs Limited,2024,2025,30-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
