symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
ABB,ABB India Limited,2024,2024,09-Apr-2025,AssuranceProviderDomain,AssuranceProviderDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StockExchangeDomain,StockExchange1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StockExchangeDomain,StockExchange2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain5,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain6,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain4,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain5,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,IssuesRelatedToAntiCompetitiveDomain,IssuesRelatedToAntiCompetitive1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,PublicPolicyDomain,PublicPolicy1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,PublicPolicyDomain,PublicPolicy2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,PublicPolicyDomain,PublicPolicy3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,CorporateIdentityNumber,L32202KA1949PLC032923,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,NameOfTheCompany,ABB India Limited,ICYMain,2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DateOfIncorporation,1949-12-24,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,AddressOfRegisteredOfficeOfCompany,"“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.",DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,AddressOfCorporateOfficeOfCompany,"“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.",DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,EMailOfTheCompany,investor.helpdesk@in.abb.com,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,TelephoneOfCompany,080 22949113 / 080 22949122,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,WebsiteOfCompany,www.abb.co.in,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DateOfStartOfFinancialYear,2024-01-01,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DateOfEndOfFinancialYear,2024-12-31,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DateOfStartOfPreviousYear,2023-01-01,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DateOfEndOfPreviousYear,2023-12-31,DCYMain,2024-01-01 to 2024-12-31,,,
ABB,ABB India Limited,2024,2024,09-Apr-2025,DateOfStartOfPriorToPreviousYear,2022-01-01,DCYMain,2024-01-01 to 2024-12-31,,,
