symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
ASAHIINDIA,Asahi India Glass Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
