symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain14,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain15,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,AppealOrRevisiondomain,AppealOrRevisiondomain2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain6,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken3,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken4,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken5,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken6,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken7,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken8,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken9,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken10,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken11,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken12,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken13,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken14,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken15,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken16,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken17,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken18,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken19,, to ,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,CorporateIdentityNumber,L65110GJ1993PLC020769,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,NameOfTheCompany,Axis Bank Limited,ICYMain,2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfIncorporation,1993-12-03,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,AddressOfRegisteredOfficeOfCompany,"“TRISHUL”, Third Floor, Opp. Samartheshwar Temple, Law Garden, Ellisbridge, 
Ahmedabad - 380 006, Gujarat",DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,AddressOfCorporateOfficeOfCompany,"‘Axis House’, C-2, Pandurang Budhkar Marg, Worli, Mumbai – 400 025, Maharashtra",DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EMailOfTheCompany,sustainability@axisbank.com,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,TelephoneOfCompany,022-24252525 / 43252525,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,WebsiteOfCompany,www.axisbank.com,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,ValueOfSharesPaidUp,6194738132,ICYMain,2025-03-31,,INR,0
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,NameOfContactPerson,"Abhejit Agarwal, Head - Sustainability & CSR",DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,ContactNumberOfContactPerson,022-6226 0040,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,EMailOfContactPerson,sustainability@axisbank.com,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
AXISBANK,Axis Bank Limited,2024,2025,27-Jun-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,Yes assurance,DCYMain,2024-04-01 to 2025-03-31,,,
