symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
BAJAJHFL,Bajaj Housing Finance Limited,2024,2025,30-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
