symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain4,, to ,,,
BANDHANBNK,Bandhan Bank Limited,2024,2025,30-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain5,, to ,,,
