symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,SettlementDomain,SettlementDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain1,, to ,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2024,2025,18-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
