symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
CANFINHOME,Can Fin Homes Limited,2024,2025,25-Jul-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
