symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,StockExchangeDomain,StockExchange1,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,StockExchangeDomain,StockExchange2,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2024,2024,04-Apr-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
