symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
