symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken3,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken4,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken5,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken6,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken7,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken8,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken9,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken10,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken11,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken12,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken13,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken14,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken15,, to ,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,CorporateIdentityNumber,L65191TN1993PLC025280,DCYMain,2025-04-01 to 2026-03-31,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,NameOfTheCompany,Equitas Small Finance Bank Limited,ICYMain,2026-03-31,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,DateOfIncorporation,1993-06-21,DCYMain,2025-04-01 to 2026-03-31,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,AddressOfRegisteredOfficeOfCompany,"4th Floor, Phase II, Spencer Plaza No.769,
Mount Road, Anna Salai,
Chennai – 600 002, Tamil Nadu",DCYMain,2025-04-01 to 2026-03-31,,,
EQUITASBNK,Equitas Small Finance Bank Limited,2025,2026,14-Aug-2025,AddressOfCorporateOfficeOfCompany,"4th Floor, Phase II, Spencer Plaza No.769,
Mount Road, Anna Salai,
Chennai – 600 002, Tamil Nadu",DCYMain,2025-04-01 to 2026-03-31,,,
