symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,CorporateIdentityNumber,L24232GJ2007PLC049867,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,NameOfTheCompany,Eris Lifesciences Limited,ICYMain,2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfIncorporation,2007-01-25,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,AddressOfRegisteredOfficeOfCompany,"Shivarth Ambit, Plot No 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Bodakdev, Ahmedabad, Gujarat-380054",DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,AddressOfCorporateOfficeOfCompany,"Shivarth Ambit, Plot No 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Bodakdev, Ahmedabad, Gujarat-380054",DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EMailOfTheCompany,complianceofficer@erislifesciences.com,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,TelephoneOfCompany,07969661000,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,WebsiteOfCompany,https://eris.co.in,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,ValueOfSharesPaidUp,136162569,ICYMain,2025-03-31,,INR,0
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,NameOfContactPerson,Milind Talegaonkar,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,ContactNumberOfContactPerson,07969661000,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,EMailOfContactPerson,complianceofficer@erislifesciences.com,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
ERIS,Eris Lifesciences Limited,2024,2025,02-Jul-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
