symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
FOSECOIND,FOSECO INDIA LIMITED,2024,2024,06-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
