symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,StockExchangeDomain,StockExchange3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain4,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain5,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain6,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain7,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain8,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain9,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain10,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain11,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain12,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain13,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain14,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain15,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain16,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,SettlementDomain,SettlementDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,CompoundingDomain,CompoundingDomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,CompoundingDomain,CompoundingDomain3,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain2,, to ,,,
GRASIM,Grasim Industries Limited,2024,2025,21-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain3,, to ,,,
