symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,CorporateIdentityNumber,L24230GJ1981PLC004878,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NameOfTheCompany,GUJARAT THEMIS BIOSYN LIMITED,ICYMain,2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfIncorporation,1981-12-11,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,AddressOfRegisteredOfficeOfCompany,"Plot No. 69-C, GIDC Ind. Estate, Dist. Valsad, Vapi -396195, Gujarat.",DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,AddressOfCorporateOfficeOfCompany,"11/12, Udyog Nagar, S.V Road, Goregaon West, Mumbai – 400 104.",DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EMailOfTheCompany,cfoassist@themismedicare.com,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,TelephoneOfCompany,022-67607080,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,WebsiteOfCompany,www.gtbl.in,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ValueOfSharesPaidUp,108965265,ICYMain,2025-03-31,,INR,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NameOfContactPerson,Mr. Vineet Gawankar,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ContactNumberOfContactPerson,022-67607080,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,EMailOfContactPerson,cfoassist@themismedicare.com,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,BSE,D_StockExchangeAxis1,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,NSE,D_StockExchangeAxis2,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DescriptionOfMainActivity,"Manufacture of Pharmaceuticals
& Medicinal Chemicals",D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,DescriptionOfBusinessActivity,Engaged in the manufacturing of fermentation based pharmaceutical intermediates and Active Pharmaceutical Ingredients (APIs),D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,PercentageOfTotalTurnoverForBusinessActivities,1,D_BusinessActivities1,2024-04-01 to 2025-03-31,,pure,INF
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ProductOrServiceSoldByTheEntity,Manufacture of Pharmaceuticals & Medicinal Chemicals.,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NICCodeOfProductOrServiceSoldByTheEntity,2100,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,PercentageOfTotalTurnoverForProductOrServiceSold,1,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,pure,INF
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfLocations,1,D_Plant_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfLocations,1,D_Office_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfLocations,2,D_Location_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:LocationMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfLocations,0,D_Plant_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfLocations,0,D_Office_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfLocations,0,D_Location_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:LocationMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfStatesWhereMarketServedByTheEntity,2,DCYMain,2024-04-01 to 2025-03-31,,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfCountriesWhereMarketServedByTheEntity,0,DCYMain,2024-04-01 to 2025-03-31,,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,PercentageOfContributionOfExportsInTheTotalTurnoverOfTheEntity,0,DCYMain,2024-04-01 to 2025-03-31,,pure,INF
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,ABriefOnTypesOfCustomersExplanatoryTextBlock,"The entity supplies Active Pharmaceutical Ingredients (APIs) to pharmaceutical companies, with a primary focus on formulation manufacturers. These customers utilize the APIs as critical raw materials in the production of finished dosage forms across various therapeutic segments. The customer base predominantly comprises domestic pharmaceutical companies engaged in commercial-scale manufacturing.",DCYMain,2024-04-01 to 2025-03-31,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,220,D_Gender_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:GenderMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,0
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED,2024,2025,21-Aug-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,199,D_Male_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:MaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,0
