symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain2,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
HDFCAMC,HDFC Asset Management Company Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
