symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
IGIL,International Gemmological Institute (India) Limited,2024,2024,17-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
