symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,PublicPolicyDomain,PublicPolicy1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,PublicPolicyDomain,PublicPolicy2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,PublicPolicyDomain,PublicPolicy3,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects9,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects10,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsDomain,CSRProjects11,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
IIFLCAPS,IIFL Capital Services Limited,2024,2025,23-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
