symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain3,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain3,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects9,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects10,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects11,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects12,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects13,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects14,, to ,,,
LINDEINDIA,Linde India Limited,2024,2025,12-Aug-2025,CSRProjectsDomain,CSRProjects15,, to ,,,
