symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
LMW,LMW Limited,2024,2025,18-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,AppealOrRevisiondomain,AppealOrRevisiondomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,CorporateIdentityNumber,L29269TZ1962PLC000463,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,NameOfTheCompany,LMW Limited,ICYMain,2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfIncorporation,1962-09-14,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,AddressOfRegisteredOfficeOfCompany,"SRK Vidyalaya Post, Perianaickenpalayam, Coimbatore- 641 020,Tamil Nadu, India",DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,AddressOfCorporateOfficeOfCompany,"34A, Kamaraj Road,Coimbatore - 641 018,Tamil Nadu, India",DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EMailOfTheCompany,secretarial@lmw.co.in,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,TelephoneOfCompany,+91 422 7192255,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WebsiteOfCompany,www.lmwglobal.com,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,ValueOfSharesPaidUp,106830000,ICYMain,2025-03-31,,INR,0
LMW,LMW Limited,2024,2025,18-Jun-2025,NameOfContactPerson,"Sri C R Shivkumaran, Company Secretary",DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,ContactNumberOfContactPerson,+91 422 7192255,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,EMailOfContactPerson,secretarial@lmw.co.in,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,Yes assurance,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,NameOfTheCompanyOrLLPOrFirmOfAssessmentOrAssuranceProvider,"Sustainability Actions Private Limited, Gurgaon",D_AssessmentOrAssuranceProvider1,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,CompanyIDOrLLPIDOrFirmIDOfAssessmentOrAssuranceProvider,U74999HR2021PTC093811,D_AssessmentOrAssuranceProvider1,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,NameOfTheAssessorOrAssurer,Saket Sinha,D_AssessmentOrAssuranceProvider1,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DesignationOfAssessorOrAssurer,Director,D_AssessmentOrAssuranceProvider1,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,DateOfSigningByAssessorOrAssurer,2025-05-14,D_AssessmentOrAssuranceProvider1,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,TypeOfAssessmentOrAssuranceObtain,Partial,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,TypeOfAssuranceForSectionAGeneralDisclosures,Partial,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,TypeOfAssuranceForDetailsOfTheListedEntity,Partial,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WhetherCorporateIdentityNumberIsAssuredByAssurer,false,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WhetherNameOfTheCompanyIsAssuredByAssurer,false,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WhetherYearOfIncorporationIsAssuredByAssurer,false,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WhetherAddressOfRegisteredOfficeOfCompanyIsAssuredByAssurer,false,DCYMain,2024-04-01 to 2025-03-31,,,
LMW,LMW Limited,2024,2025,18-Jun-2025,WhetherAddressOfCorporateOfficeOfCompanyIsAssuredByAssurer,false,DCYMain,2024-04-01 to 2025-03-31,,,
