symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAHEPC,Mahindra EPC Irrigation Limited,2024,2025,24-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
