symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain6,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain7,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain8,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain9,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain10,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain11,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain12,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,CorporateIdentityNumber,L65990MH1978PLC020080,DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,NameOfTheCompany,Marathon Nextgen Realty Limited,ICYMain,2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,DateOfIncorporation,1978-01-13,DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,AddressOfRegisteredOfficeOfCompany,"Marathon FutureX N.M. Joshi Marg, Lower Parel, Mumbai 400013",DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,AddressOfCorporateOfficeOfCompany,"702, Marathon Max, Mulund-Goregaon link road, Mulund (W), Mumbai- 400013",DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,EMailOfTheCompany,cs@marathonnextgen.com,DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,TelephoneOfCompany,022-6772 8484,DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,WebsiteOfCompany,www.marathon.in/nextgen,DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
MARATHON,Marathon Nextgen Realty Limited,2024,2025,02-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
