symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain14,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain15,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain16,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain17,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain18,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain19,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain20,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain21,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,SettlementDomain,SettlementDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherAssessmentsDomain,OtherAssessmentsDomain12,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OtherAssessmentOfValueChainPartnersDomain,OtherAssessmentOfValueChainPartnersDomain12,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,2024,2025,05-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
