symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,CorporateIdentityNumber,L64201HR2008PLC053766,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NameOfTheCompany,One Mobikwik Systems Limited,ICYMain,2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfIncorporation,2008-03-20,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,AddressOfRegisteredOfficeOfCompany,"Unit No. 102, 1st Floor, Block-B, Pegasus One, Golf Course Road, Sector-53, Gurugram, Haryana-122003, India.",DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,AddressOfCorporateOfficeOfCompany,"Unit No. 102, 1st Floor, Block-B, Pegasus One, Golf Course Road, Sector-53, Gurugram, Haryana-122003, India.",DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EMailOfTheCompany,cs@mobikwik.com,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,TelephoneOfCompany,0124‐4903344,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,WebsiteOfCompany,https://www.mobikwik.com,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ValueOfSharesPaidUp,155372626,ICYMain,2025-03-31,,INR,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NameOfContactPerson,"Ankita Sharma, Company Secretary and Compliance Officer",DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ContactNumberOfContactPerson,cs@mobikwik.com,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,EMailOfContactPerson,cs@mobikwik.com,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,BSE,D_StockExchangeAxis1,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,NSE,D_StockExchangeAxis2,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DescriptionOfMainActivity,Financial and Insurance related Information Services,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,DescriptionOfBusinessActivity,Other Financial activities,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,PercentageOfTotalTurnoverForBusinessActivities,1,D_BusinessActivities1,2024-04-01 to 2025-03-31,,pure,INF
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ProductOrServiceSoldByTheEntity,Payment Services,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NICCodeOfProductOrServiceSoldByTheEntity,63999,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,PercentageOfTotalTurnoverForProductOrServiceSold,0.63,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,pure,INF
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,ProductOrServiceSoldByTheEntity,Financial Services,D_ProductServiceSold2,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NICCodeOfProductOrServiceSoldByTheEntity,63999,D_ProductServiceSold2,2024-04-01 to 2025-03-31,,,
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,PercentageOfTotalTurnoverForProductOrServiceSold,0.34,D_ProductServiceSold2,2024-04-01 to 2025-03-31,,pure,INF
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfLocations,0,D_Plant_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfLocations,2,D_Office_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfLocations,2,D_Location_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:LocationMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfLocations,0,D_Plant_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfLocations,0,D_Office_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfLocations,0,D_Location_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:LocationMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
MOBIKWIK,One Mobikwik Systems Limited,2024,2025,20-Aug-2025,NumberOfStatesWhereMarketServedByTheEntity,28,DCYMain,2024-04-01 to 2025-03-31,,pure,0
