symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
MSTCLTD,MSTC LIMITED,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
