symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain4,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain5,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain6,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain7,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain8,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain9,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain10,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain11,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain12,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain13,, to ,,,
NESTLEIND,Nestle India Limited,2024,2025,27-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain14,, to ,,,
