symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
NMDC,NMDC Limited,2024,2025,20-Aug-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain5,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain6,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain9,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy1,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy2,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy3,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy4,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy5,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy6,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy7,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy8,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy9,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy10,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy11,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy12,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy13,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy14,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy15,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy16,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy17,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy18,, to ,,,
NMDC,NMDC Limited,2024,2025,20-Aug-2025,PublicPolicyDomain,PublicPolicy19,, to ,,,
