symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,StockExchangeDomain,StockExchange3,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
NSLNISP,NMDC Steel Limited,2024,2025,20-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
