symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
PENIND,PENNAR INDUSTRIES LIMITED,2024,2025,08-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
