symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain16,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain17,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain18,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain19,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain20,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain21,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain22,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain23,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain24,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain25,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,CorporateIdentityNumber,L72300PN1990PLC056696,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,NameOfTheCompany,Persistent Systems Limited,ICYMain,2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfIncorporation,1990-05-30,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,AddressOfRegisteredOfficeOfCompany,"Bhageerath, 402 Senapati Bapat Road, Pune, Maharashtra 411016",DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,AddressOfCorporateOfficeOfCompany,"Bhageerath, 402 Senapati Bapat Road, Pune, Maharashtra 411016",DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EMailOfTheCompany,corpsec@persistent.com,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,TelephoneOfCompany,67035555,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,WebsiteOfCompany,www.persistent.com,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,ValueOfSharesPaidUp,779250000,ICYMain,2025-03-31,,INR,0
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,NameOfContactPerson,Amit Atre,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,ContactNumberOfContactPerson,67035555,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,EMailOfContactPerson,investors@persistent.com,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,ReportingBoundary,Consolidated basis,DCYMain,2024-04-01 to 2025-03-31,,,
PERSISTENT,Persistent Systems Limited,2024,2025,25-Jun-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,Yes assurance,DCYMain,2024-04-01 to 2025-03-31,,,
