symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,CorporateIdentityNumber,L25192MH1981PLC024837,DCYMain,2024-04-01 to 2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,NameOfTheCompany,PIX TRANSMISSIONS LIMITED,ICYMain,2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,DateOfIncorporation,1981-07-22,DCYMain,2024-04-01 to 2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,AddressOfRegisteredOfficeOfCompany,J 7 MIDC HINGNA ROAD NAGPUR,DCYMain,2024-04-01 to 2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,AddressOfCorporateOfficeOfCompany,"One BKC B Wing  12th Floor Unit No.1208,
Bandra-Kurla Complex Bandra East Mumbai",DCYMain,2024-04-01 to 2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,EMailOfTheCompany,info@pixtrans.com,DCYMain,2024-04-01 to 2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,TelephoneOfCompany,07104 669000,DCYMain,2024-04-01 to 2025-03-31,,,
PIXTRANS,PIX TRANSMISSIONS LIMITED,2024,2025,04-Jul-2025,WebsiteOfCompany,www.pixtrans.com,DCYMain,2024-04-01 to 2025-03-31,,,
