symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
PTC,PTC India Limited,2024,2025,14-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects9,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CSRProjectsDomain,CSRProjects10,, to ,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,CorporateIdentityNumber,L40105DL1999PLC099328,DCYMain,2024-04-01 to 2025-03-31,,,
PTC,PTC India Limited,2024,2025,14-Jul-2025,NameOfTheCompany,PTC India Limited,ICYMain,2025-03-31,,,
