symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
RAINBOW,Rainbow Childrens Medicare Limited,2024,2025,13-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
