symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,CorporateIdentityNumber,L70109GJ1983PLC006460,DCYMain,2024-04-01 to 2025-03-31,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,NameOfTheCompany,Ratnamani Metals & Tubes Limited,ICYMain,2025-03-31,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,DateOfIncorporation,1983-09-15,DCYMain,2024-04-01 to 2025-03-31,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,2024,2025,12-Aug-2025,AddressOfRegisteredOfficeOfCompany,"17, Rajmugat Society, Naranpura Cross Roads, Ahmedabad - 380013, Gujarat, India",DCYMain,2024-04-01 to 2025-03-31,,,
