symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StockExchangeDomain,StockExchange1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain16,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain17,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain18,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain19,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain20,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain21,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain22,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain23,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain24,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain25,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain26,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain27,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain28,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain14,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain15,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain6,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain7,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,SpecificInitiativesDomain,SpecificInitiativesDomain8,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,IssuesRelatedToAntiCompetitiveDomain,IssuesRelatedToAntiCompetitive1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects9,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsDomain,CSRProjects10,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken3,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken4,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken5,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken6,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken7,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken8,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken9,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken10,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken11,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken12,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken13,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken14,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken15,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken16,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken17,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken18,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken19,, to ,,,
SBIN,STATE BANK OF INDIA,2024,2025,22-May-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken20,, to ,,,
