symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain3,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain3,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,CorporateIdentityNumber,L74210TN2000PLC045167,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,NameOfTheCompany,SEPC Limited,ICYMain,2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfIncorporation,2000-06-12,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,AddressOfRegisteredOfficeOfCompany,"3rd Floor, ASV Hansa Towers, No. 53/20, Greams Road, Thousand Lights, Greams Road, Chennai, Chennai, Tamil Nadu, India, 600006",DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,AddressOfCorporateOfficeOfCompany,"3rd Floor, ASV Hansa Towers, No. 53/20, Greams Road, Thousand Lights, Greams Road, Chennai, Chennai, Tamil Nadu, India, 600006",DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,EMailOfTheCompany,info@sepc.in,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,TelephoneOfCompany,044 - 65105555,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,WebsiteOfCompany,www.sepc.in,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SEPC,SEPC Limited,2024,2025,08-Sep-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
