symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain16,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain17,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain18,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain19,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SEQUENT,Sequent Scientific Limited,2024,2025,16-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
