symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain9,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain10,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,CorporateIdentityNumber,L20211CH1991PLC011732,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,NameOfTheCompany,STYLAM INDUSTRIES LIMITED,ICYMain,2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DateOfIncorporation,1991-10-28,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,AddressOfRegisteredOfficeOfCompany,SCO 14 SECTOR 7 C MADHYA MARG CHANDIGARH,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,AddressOfCorporateOfficeOfCompany,SCO 14 SECTOR 7 C MADHYA MARG CHANDIGARH,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,EMailOfTheCompany,cs@stylam.com,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,TelephoneOfCompany,+0172-5021555,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,WebsiteOfCompany,www.stylam.com,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
STYLAMIND,STYLAM INDUSTRIES LIMITED,2024,2025,04-Sep-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
