symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,IssuesRelatedToAntiCompetitiveDomain,IssuesRelatedToAntiCompetitive1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,PublicPolicyDomain,PublicPolicy1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,PublicPolicyDomain,PublicPolicy2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,PublicPolicyDomain,PublicPolicy3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,ProjectsOfSocialImpactAssessmentsDomain,ProjectsOfSocialImpactAssessments1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,ProjectsForRehabilitationAndResettlementDomain,ProjectsForRehabilitationAndResettlement1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken3,, to ,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,CorporateIdentityNumber,L92200DL1999PLC103001,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,NameOfTheCompany,TV Today Network Limited,ICYMain,2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,DateOfIncorporation,1999-12-28,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,AddressOfRegisteredOfficeOfCompany,"F-26, First Floor, Connaught Circus, New Delhi-110001",DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,AddressOfCorporateOfficeOfCompany,"FC-8, Sector 16A, Film City, Noida - 201301, Uttar Pradesh",DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,EMailOfTheCompany,investors@aajtak.com,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,TelephoneOfCompany,0120 4908600,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,WebsiteOfCompany,https://www.aajtak.in,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
TVTODAY,TV Today Network Limited,2024,2025,06-Aug-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
