symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
