symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
UTIAMC,UTI Asset Management Company Limited,2024,2025,09-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
