symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,CorporateIdentityNumber,L24230MH2005PLC151348,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,NameOfTheCompany,Valiant Organics Limited,ICYMain,2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfIncorporation,2005-02-16,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,AddressOfRegisteredOfficeOfCompany,"109, Udyog Kshetra, First Floor, Mulund Goregaon Link Road, Mulund (W), Mumbai - 400080",DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,AddressOfCorporateOfficeOfCompany,"109, Udyog Kshetra, First Floor, Mulund Goregaon Link Road, Mulund (W), Mumbai - 400080",DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,EMailOfTheCompany,investor@valiantorganics.com,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,TelephoneOfCompany,+91 22 6797 6683,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,WebsiteOfCompany,www.valiantorganics.com,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
VALIANTORG,Valiant Organics Limited,2024,2025,02-Sep-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
