symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange3,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain3,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain3,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain4,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain4,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherAssessmentsDomain,OtherAssessmentsDomain12,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,OtherAssessmentOfValueChainPartnersDomain,OtherAssessmentOfValueChainPartnersDomain12,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,CorporateIdentityNumber,L51109MH1982PLC319008,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NameOfTheCompany,Authum Investment & Infrastructure Limited,ICYMain,2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfIncorporation,1982-07-17,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,AddressOfRegisteredOfficeOfCompany,"707, Raheja Centre, Free Press Journal Marg, Nariman Point, Mumbai 400021",DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,AddressOfCorporateOfficeOfCompany,"The Ruby, 11th Floor, North-West Wing, Plot No. 29, Senapati Bapat Marg, Dadar (West), Mumbai 400 028",DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,EMailOfTheCompany,secretarial@authum.com,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,TelephoneOfCompany,022 67472117,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,WebsiteOfCompany,www.authum.com,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,ValueOfSharesPaidUp,222125100,ICYMain,2025-03-31,,INR,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NameOfContactPerson,Mrs. Dipyanti Jaiswar,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,ContactNumberOfContactPerson,022 67472117,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,EMailOfContactPerson,secretarial@authum.com,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NameOfStockExchangeWhereTheCompanyIsListed,BSE,D_StockExchangeAxis1,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NameOfStockExchangeWhereTheCompanyIsListed,NSE,D_StockExchangeAxis2,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NameOfStockExchangeWhereTheCompanyIsListed,Others,D_StockExchangeAxis3,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfOtherStockExchangeWhereTheCompanyIsListed,"Calcutta Stock Exchange
The Company has delisted its equity shares from Calcutta Stock Exchange with effect from May 30, 2025",D_StockExchangeAxis3,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,CountryOfOtherStockExchange,India,D_StockExchangeAxis3,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfMainActivity,Financial services,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfBusinessActivity,Investment & trading,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfTotalTurnoverForBusinessActivities,0.8106,D_BusinessActivities1,2024-04-01 to 2025-03-31,,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfMainActivity,Financial services,D_BusinessActivities2,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfBusinessActivity,Lending Business,D_BusinessActivities2,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfTotalTurnoverForBusinessActivities,0.1886,D_BusinessActivities2,2024-04-01 to 2025-03-31,,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfMainActivity,Financial services,D_BusinessActivities3,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,DescriptionOfBusinessActivity,Investment in Real Estate,D_BusinessActivities3,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfTotalTurnoverForBusinessActivities,0.0008,D_BusinessActivities3,2024-04-01 to 2025-03-31,,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,ProductOrServiceSoldByTheEntity,Not Applicable,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NICCodeOfProductOrServiceSoldByTheEntity,00000,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfTotalTurnoverForProductOrServiceSold,0,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfLocations,0,D_Plant_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfLocations,27,D_Office_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfLocations,27,D_Location_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:LocationMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfLocations,0,D_Plant_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfLocations,0,D_Office_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfLocations,0,D_Location_International,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:LocationMember; in-capmkt:GeographicalAxis=in-capmkt:InternationalMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfStatesWhereMarketServedByTheEntity,15,DCYMain,2024-04-01 to 2025-03-31,,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfCountriesWhereMarketServedByTheEntity,0,DCYMain,2024-04-01 to 2025-03-31,,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfContributionOfExportsInTheTotalTurnoverOfTheEntity,0,DCYMain,2024-04-01 to 2025-03-31,,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,ABriefOnTypesOfCustomersExplanatoryTextBlock,"Internal customer – Who has availed the loan from us and having any type of complaint regarding his loan, and 

External Customer – A person who has not availed any loan from us and having any type of complaint eg. fraud has been conducted with customer by offering the loan in your company name/customer does not pertain to your company.",DCYMain,2024-04-01 to 2025-03-31,,,
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,326,D_Gender_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:GenderMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,285,D_Male_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:MaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfEmployeesOrWorkersIncludingDifferentlyAbled,0.8743,D_Male_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:MaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,41,D_Female_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:FemaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfEmployeesOrWorkersIncludingDifferentlyAbled,0.1258,D_Female_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:FemaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,0,D_OtherGender_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:OtherGenderMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfEmployeesOrWorkersIncludingDifferentlyAbled,0,D_OtherGender_PermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:OtherGenderMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:PermanentEmployeesMember,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,101,D_Gender_OtherThanPermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:GenderMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:OtherThanPermanentEmployeesMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,71,D_Male_OtherThanPermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:MaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:OtherThanPermanentEmployeesMember,pure,0
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,PercentageOfEmployeesOrWorkersIncludingDifferentlyAbled,0.703,D_Male_OtherThanPermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:MaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:OtherThanPermanentEmployeesMember,pure,INF
AIIL,Authum Investment & Infrastructure Limited,2024,2025,04-Sep-2025,NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,30,D_Female_OtherThanPermanentEmployees_TableA,2024-04-01 to 2025-03-31,in-capmkt:GenderAxis=in-capmkt:FemaleMember; in-capmkt:DetailsOfEmployeesAndWorkersIncludingDifferentlyAbledAxis=in-capmkt:OtherThanPermanentEmployeesMember,pure,0
