symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
ARTEMISMED,Artemis Medicare Services Limited,2024,2025,07-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain2,, to ,,,
