symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,SettlementDomain,SettlementDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain9,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain10,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain11,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
AVANTIFEED,Avanti Feeds Limited,2024,2025,19-Jul-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject1,, to ,,,
