symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain2,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain3,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain4,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
BAJAJ-AUTO,Bajaj Auto Limited,2024,2025,12-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
