symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
BAJAJFINSV,Bajaj Finserv Limited,2024,2025,03-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
