symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain4,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain5,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain6,, to ,,,
BALMLAWRIE,Balmer Lawrie & Company Limited,2024,2025,29-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain7,, to ,,,
