symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
BLISSGVS,BLISS GVS PHARMA LIMITED,2024,2025,09-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
