symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,StockExchangeDomain,StockExchange1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,StockExchangeDomain,StockExchange2,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
CASTROLIND,Castrol India Limited,2025,2025,25-Feb-2026,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain14,, to ,,,
