symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired2,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired2,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired3,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired3,, to ,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,CorporateIdentityNumber,L65110TN1904PLC001287,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,NameOfTheCompany,CITY UNION BANK LIMITED,ICYMain,2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfIncorporation,1904-10-31,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,AddressOfRegisteredOfficeOfCompany,"149, TSR (Big) street, Thanjavur Dist. Kumbakonam, Tamil Nadu, India - 612 001",DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,AddressOfCorporateOfficeOfCompany,"""Narayana"" No.24B, Gandhi Nagar Kumbakonam, Tamilnadu, India - 612 001",DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EMailOfTheCompany,shares@cityunionbank.in,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,TelephoneOfCompany,0435 – 2402322,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,WebsiteOfCompany,www.cityunionbank.com,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,ValueOfSharesPaidUp,740985734,ICYMain,2025-03-31,,INR,0
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,NameOfContactPerson,Mr. Venkataramanan S,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,ContactNumberOfContactPerson,+91 – 8925909716,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,EMailOfContactPerson,secretary@cityunionbank.in,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
CUB,CITY UNION BANK LIMITED,2024,2025,22-Jul-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
