symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain2,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain3,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain4,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain5,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
EICHERMOT,EICHER MOTORS LIMITED,2024,2025,28-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
