symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain3,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain4,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain5,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain6,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain7,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain8,, to ,,,
ESCORTS,Escorts Kubota Limited,2024,2025,20-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain9,, to ,,,
