symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StockExchangeDomain,StockExchange3,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherWasteDomain,OtherWasteDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherWasteDomain,OtherWasteDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain3,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain3,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain4,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain4,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain5,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain5,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain6,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain6,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain7,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain7,, to ,,,
EVEREADY,Eveready Industries India Limited,2024,2025,10-Jul-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain8,, to ,,,
