symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,SettlementDomain,SettlementDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
