symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain1,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain2,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain3,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain4,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain5,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain6,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain7,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain8,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain9,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain10,, to ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,2024,2025,18-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain11,, to ,,,
