symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
