symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain16,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain17,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain18,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain19,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain20,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain21,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain22,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain2,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain2,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain2,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain2,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain3,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain3,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain3,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain3,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain4,, to ,,,
GMMPFAUDLR,GMM Pfaudler Limited,2024,2025,08-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain4,, to ,,,
