symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain7,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain8,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain9,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain10,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain11,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain12,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain7,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain8,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,PublicPolicyDomain,PublicPolicy1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,PublicPolicyDomain,PublicPolicy2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,PublicPolicyDomain,PublicPolicy3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,2024,2025,13-Aug-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
