symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,StockExchangeDomain,StockExchange1,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,StockExchangeDomain,StockExchange2,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain12,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain13,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain14,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain15,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain16,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain17,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain18,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain19,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain20,, to ,,,
HSCL,Himadri Speciality Chemical Limited,2024,2025,20-May-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain21,, to ,,,
