symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain2,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
IDBI,IDBI Bank Limited,2024,2025,25-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
