symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain3,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain4,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain3,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain4,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
IGPL,IG Petrochemicals Limited,2024,2025,14-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
