symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,CorporateIdentityNumber,L31401DL2016PLC292884,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,NameOfTheCompany,IKIO TECHNOLOGIES LIMITED,ICYMain,2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfIncorporation,2016-03-21,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,AddressOfRegisteredOfficeOfCompany,"411, Arunachal Building 19 Barakhamba Road, Central Delhi, Connaught Place, Delhi, India, 110001.",DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,AddressOfCorporateOfficeOfCompany,"Plot No. 10, Sector-156, Noida",DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EMailOfTheCompany,SECRETARIAL@IKIOTECH.COM,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,TelephoneOfCompany,0120-7185862,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,WebsiteOfCompany,WWW.IKIOTECH.COM,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfStartOfPriorToPreviousYear,2022-02-01,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,ValueOfSharesPaidUp,772807010,ICYMain,2025-03-31,,INR,0
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,NameOfContactPerson,Mr. Sandeep Agarwal,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,ContactNumberOfContactPerson,0120-7185862,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,EMailOfContactPerson,SECRETARIAL@IKIOTECH.COM,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,NameOfStockExchangeWhereTheCompanyIsListed,BSE,D_StockExchangeAxis1,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,NameOfStockExchangeWhereTheCompanyIsListed,NSE,D_StockExchangeAxis2,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DescriptionOfMainActivity,Manufacturing and designing of LED lights,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,DescriptionOfBusinessActivity,"Electrical equipment, General Purpose and Special purpose Machinery & Equipment, Transport equipment.",D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,PercentageOfTotalTurnoverForBusinessActivities,1,D_BusinessActivities1,2024-04-01 to 2025-03-31,,pure,INF
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,ProductOrServiceSoldByTheEntity,Manufacturing and designing of LED lights,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
IKIO,IKIO TECHNOLOGIES LIMITED,2024,2025,29-Jul-2025,NICCodeOfProductOrServiceSoldByTheEntity,27400,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
