symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,PenaltyOrFineDomain,PenaltyOrFineDomain2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain3,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain4,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain5,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
IRMENERGY,IRM ENERGY LIMITED,2024,2025,02-Sep-2025,CorporateIdentityNumber,L40100GJ2015PLC085213,DCYMain,2024-04-01 to 2025-03-31,,,
